Id,Exhibit_Group,Exhibit_Name,Exhibit_Popularity,Language,Complexity,Exhibit_Copy
0,All-Aboard,All-Aboard,1,English,Simplified,"# All Aboard!
Trains and railways have been a 'model' of innovation for hundreds of years, leading to advances in industry, agriculture, and transportation. Powered by steam, diesel fuel, or electricity, trains represent one of the most important ways that people and goods travel. Trains have also been a staple of pop culture and have been featured in some of our favorite movies. From Thomas the Tank Engine to The Hogwarts Express, these favorites take us on adventures and spark our imaginations. What is YOUR favorite? Today, trains and railways embody the technological advancements we've seen accelerate around the globe. From smart sensors and automated inspection equipment to computer programs that maximize fuel use, trains continue to carry us into the future.

### Train Time
Before trains, every town across the country set their own clocks based on solar noon, the moment when the sun is at its highest point in the sky. In Milwaukee, solar noon happens about a minute before it happens in Waukesha and about 14 minutes before it happens in Eau Claire. Clocks were different everywhere you went, but no one could get anywhere fast enough for it to matter. Then trains happened. Trains need schedules, not just for passengers, but also for safety. If your local clock is 14 minutes faster or slower than someone else's local clock, how can you coordinate? Railway companies were the first to set standard times. Trains ran on standardized timetables set by the companies. To a railway company, it was the same time in Chicago and Eau Claire as it was in Milwaukee and Minneapolis. Eventually, the railroad companies convinced governments to divide North America into five time zones. Today, the United States has nine different time zones.

### Staying on Track
How do trains stay on the tracks? Trains are massive and they have a lot of momentum. Newton's 1st Law of Motion says that objects that are moving want to keep moving in a straight line. But train routes aren't perfectly straight lines. When something with wheels goes around a curve, the outside wheels have farther to go and need to turn faster. The wheels on a car turn at different speeds thanks to something called a differential. Trains don't have a differential. Their wheels turn at the same speed. What's the solution? Train wheels aren't cylinders, they're cone-shaped and wider on the inside. If the track curves to the right, the train shifts to the left. Because the wheels have a slight cone shape, and are wider on the inside, the left wheels are now just a little bigger than the wheels on the right. This means that the left wheels travel a little bit farther than the ones on the right, all while turning at the same speed. Self-correcting wheels keep trains on the tracks."
0,All-Aboard,All-Aboard,1,Spanish,Simplified,"# ¡Todos a bordo!
Los trenes y los ferrocarriles han sido un ""modelo"" de innovación durante cientos de años, lo que ha dado lugar a avances en la industria, la agricultura y el transporte. Impulsados ​​por vapor, combustible diésel o electricidad, los trenes representan una de las formas más importantes en que viajan personas y mercancías. Los trenes también han sido un elemento básico de la cultura pop y han aparecido en algunas de nuestras películas favoritas. Desde Thomas the Tank Engine hasta The Hogwarts Express, estos favoritos nos llevan de aventuras y despiertan nuestra imaginación. ¿Cuál es TU favorito? Hoy en día, los trenes y los ferrocarriles encarnan los avances tecnológicos que hemos visto acelerarse en todo el mundo. Desde sensores inteligentes y equipos de inspección automatizados hasta programas informáticos que maximizan el uso del combustible, los trenes siguen llevándonos hacia el futuro.

### Horario de trenes
Antes de los trenes, todas las ciudades del país configuraban sus propios relojes según el mediodía solar, el momento en que el sol está en su punto más alto en el cielo. En Milwaukee, el mediodía solar ocurre aproximadamente un minuto antes que en Waukesha y aproximadamente 14 minutos antes que en Eau Claire. Los relojes eran diferentes en todas partes, pero nadie podía llegar a ningún lado lo suficientemente rápido como para que eso importara. Entonces aparecieron los trenes. Los trenes necesitan horarios, no solo para los pasajeros, sino también por seguridad. Si el reloj de tu ciudad es 14 minutos más rápido o más lento que el de otra ciudad, ¿cómo puedes coordinarte? Las compañías ferroviarias fueron las primeras en establecer horarios estándar. Los trenes funcionaban según horarios estandarizados establecidos por las compañías. Para una compañía ferroviaria, era la misma hora en Chicago y Eau Claire que en Milwaukee y Minneapolis. Finalmente, las compañías ferroviarias convencieron a los gobiernos de dividir América del Norte en cinco zonas horarias. Hoy, Estados Unidos tiene nueve zonas horarias diferentes. 

### Mantenerse en la vía
¿Cómo se mantienen los trenes en la vía? Los trenes son enormes y tienen mucho impulso. La primera ley del movimiento de Newton dice que los objetos que se mueven quieren seguir moviéndose en línea recta. Pero las rutas de los trenes no son líneas perfectamente rectas. Cuando algo con ruedas toma una curva, las ruedas exteriores tienen que recorrer más distancia y deben girar más rápido. Las ruedas de un automóvil giran a diferentes velocidades gracias a algo llamado diferencial. Los trenes no tienen diferencial. Sus ruedas giran a la misma velocidad. ¿Cuál es la solución? Las ruedas de los trenes no son cilíndricas, sino cónicas y más anchas por dentro. Si la vía se curva hacia la derecha, el tren se desplaza hacia la izquierda. Como las ruedas tienen una ligera forma cónica y son más anchas por dentro, las ruedas de la izquierda son ahora un poco más grandes que las de la derecha. Esto significa que las ruedas de la izquierda viajan un poco más lejos que las de la derecha, todo ello girando a la misma velocidad. Las ruedas autocorrectoras mantienen los trenes en las vías."
0,All-Aboard,All-Aboard,1,Hmong,Simplified,"#Txhua yam hauv qab!
Cov tsheb ciav hlau thiab kev tsheb ciav hlau tau ua 'tus qauv' ntawm kev tsim kho tshiab rau ntau pua xyoo, ua rau kev nce qib hauv kev lag luam, kev ua liaj ua teb, thiab kev thauj mus los. Tsim los ntawm chav, roj av, lossis hluav taws xob, tsheb ciav hlau sawv cev yog ib txoj hauv kev tseem ceeb tshaj plaws uas tib neeg thiab cov khoom siv mus. Cov tsheb ciav hlau kuj tseem yog ib qho tseem ceeb ntawm cov kab lis kev cai pop thiab tau nthuav tawm hauv qee qhov peb nyiam ua yeeb yaj kiab. Los ntawm Thomas lub Tank Cav mus rau Hogwarts Express, cov kev nyiam no coj peb mus rau kev lom zem thiab ua rau peb xav txog. Koj nyiam dab tsi? Niaj hnub no, cov tsheb ciav hlau thiab kev tsheb ciav hlau suav nrog kev nce qib kev siv tshuab uas peb tau pom nrawm thoob plaws ntiaj teb. Los ntawm ntse sensors thiab automated soj ntsuam cov khoom mus rau lub computer cov kev pab cuam uas ua rau kom siv roj, tsheb ciav hlau txuas ntxiv nqa peb mus rau yav tom ntej.

### Lub Sijhawm Tsheb nqaj hlau
Ua ntej tsheb ciav hlau, txhua lub nroog thoob plaws lub tebchaws tau teeb tsa lawv tus kheej lub moos raws hnub ci tav su, lub sijhawm thaum lub hnub nyob ntawm nws qhov siab tshaj plaws saum ntuj. Hauv Milwaukee, hnub ci tav su tshwm sim li ib feeb ua ntej nws tshwm sim hauv Waukesha thiab txog 14 feeb ua ntej nws tshwm sim hauv Eau Claire. Cov moos sib txawv txhua qhov chaw koj mus, tab sis tsis muaj leej twg tuaj yeem mus tau qhov twg sai txaus rau qhov teeb meem. Ces tsheb ciav hlau tshwm sim. Tsheb ciav hlau xav tau cov sij hawm, tsis yog rau cov neeg caij tsheb xwb, tab sis kuj rau kev nyab xeeb. Yog tias koj lub moos hauv zos yog 14 feeb sai dua lossis qeeb dua lwm tus lub moos hauv zos, koj tuaj yeem ua haujlwm li cas? Cov tuam txhab tsheb ciav hlau yog thawj zaug los teeb tsa lub sijhawm. Cov tsheb ciav hlau tau khiav ntawm cov sijhawm teem sijhawm los ntawm cov tuam txhab. Rau lub tuam txhab kev tsheb ciav hlau, nws yog tib lub sijhawm hauv Chicago thiab Eau Claire raws li nws nyob hauv Milwaukee thiab Minneapolis. Thaum kawg, cov tuam txhab kev tsheb ciav hlau tau hais kom tsoomfwv faib North America ua tsib lub sijhawm. Niaj hnub no, Tebchaws Meskas muaj cuaj lub sijhawm sib txawv.

### Nyob Taug Kev
Yuav ua li cas cov tsheb ciav hlau nyob ntawm txoj kev? Cov tsheb ciav hlau loj heev thiab lawv muaj zog heev. Newton's 1st Law of Motion hais tias cov khoom uas txav mus los xav kom txav mus rau hauv txoj kab ncaj nraim. Tab sis txoj kev tsheb ciav hlau tsis yog txoj kab ncaj nraim. Thaum ib yam dab tsi nrog lub log mus ncig ntawm qhov nkhaus, cov log sab nraud tau mus deb dua thiab yuav tsum tig nrawm dua. Lub log ntawm lub tsheb tig ntawm qhov sib txawv ua tsaug rau qee yam hu ua qhov sib txawv. Tsheb ciav hlau tsis muaj qhov sib txawv. Lawv lub log tig ntawm tib lub nrawm. Qhov kev daws teeb meem yog dab tsi? Lub log tsheb ciav hlau tsis yog lub tog raj kheej, lawv yog lub khob hliav qab thiab dav rau sab hauv. Yog hais tias txoj kev nkhaus mus rau sab xis, lub tsheb ciav hlau hloov mus rau sab laug. Vim tias cov log muaj lub khob me me, thiab dav dua rau sab hauv, cov log sab laug tam sim no tsuas yog me ntsis loj dua lub log ntawm sab xis. Qhov no txhais tau hais tias cov log sab laug taug kev me ntsis deb dua li ntawm sab xis, tag nrho thaum tig ntawm tib qhov ceev. Kev kho tus kheej lub log kom cov tsheb ciav hlau ntawm txoj kev."
5,Automation Everywhere,Connect Four,3,Spanish,Simplified,"**Conoce a Gary, el robot**
Gary es un robot especial que clasifica objetos de forma rápida y precisa. Utiliza un potente programa informático para reconocer y recoger objetos. ¡Gary es muy bueno en su trabajo!

Los robots como Gary se utilizan en muchas industrias diferentes, como:
* Medicina
* Procesamiento de alimentos
* Electrónica
* ¡Muchas más!"
5,Automation Everywhere,Connect Four,3,Hmong,Simplified,"** Ntsib Gary tus neeg hlau **
Gary yog tus neeg hlau tshwj xeeb uas txheeb cov khoom sai thiab raug. Nws siv lub khoos phis tawj muaj zog los paub txog thiab khaws cov khoom. Gary zoo heev ntawm nws txoj haujlwm!

Cov neeg hlau zoo li Gary tau siv ntau yam kev lag luam, xws li:
* Tshuaj kho mob
* Kev ua zaub mov
* Electronics
* Ntau ntau!"
5,Automation Everywhere,Connect Four,3,English,Simplified,"**Meet Gary the Robot**
Gary is a special robot that sorts objects quickly and accurately. He uses a powerful computer program to recognize and pick up items. Gary is very good at his job!

Robots like Gary are used in many different industries, such as:
* Medicine
* Food processing
* Electronics
* Many more!"
5,Automation Everywhere,Connect Four,3,English,Standard,"**Fanuc Robot-M-11a**

Gary is a sorting robot built by FANUC and controlled by a Rockwell Automation Programmable Automation Controller (PAC). Gary is very good at sorting. He's fast, accurate, and he's got excellent vision. Gary can recognize objects, track moving objects, and select parts from a bin.

Robots like the FANUC M-11a assemble electronics and work on assembly lines. They are used in the pharmaceutical industry, the health care industry, the food industry, and many other industries."
5,Automation Everywhere,Connect Four,3,Spanish,Standard,"**Robot Fanuc M-11a**

Gary es un robot clasificador construido por FANUC y controlado por un controlador de automatización programable (PAC) de Rockwell Automation. Gary es muy bueno clasificando. Es rápido, preciso y tiene una visión excelente. Puede reconocer objetos, seguir objetos en movimiento y seleccionar piezas de un contenedor.

Los robots como el FANUC M-11a ensamblan componentes electrónicos y trabajan en líneas de ensamblaje. Se utilizan en la industria farmacéutica, la industria de la salud, la industria alimentaria y muchas otras industrias."
5,Automation Everywhere,Connect Four,3,Hmong,Standard,"**Fanuc Neeg Hlau-M-11a**

Gary yog ib tug sorting neeg hlau tsim los ntawm FANUC thiab tswj los ntawm Rockwell Automation Programmable Automation Controller (PAC). Gary zoo heev ntawm kev txheeb xyuas. Nws ceev ceev, raug, thiab nws tau txais kev pom zoo. Gary tuaj yeem paub cov khoom, taug qab cov khoom txav mus los, thiab xaiv qhov chaw ntawm lub hauv paus.

Cov neeg hlau zoo li FANUC M-11a sib sau cov khoom siv hluav taws xob thiab ua haujlwm ntawm cov kab sib dhos. Lawv yog siv rau hauv kev lag luam kws tshuaj, kev lag luam kev noj qab haus huv, kev lag luam zaub mov, thiab ntau lwm yam lag luam."
6,Automation Everywhere,Dream Machine,1,Hmong,Standard,"### Sensor

#### 1. Me me Lub teeb Sensors
Cov no yog cov sensors me me uas tuaj yeem ntes lub teeb thiab xa cov teeb liab.

#### 2. Beam Breakers
Cov sensors ci ib lub teeb ci. Thaum ib yam dab tsi nkag mus rau hauv txoj kev, zoo li koj daim ntawv ua npuas ncauj, lub sensor xa lus mus rau Dream Machine lub computer hlwb. Lub hlwb lub computer no paub txhua yam nyob qhov twg, yog li nws paub qhov khoom nyob qhov twg thiab.

#### 3. Hlau Ntes
Cov sensors no ua haujlwm zoo li hlau ntes. Lawv tshawb xyuas cov khoom hlau nyob ze. Yog tias cov khoom nyob ze, lub sensor xa cov teeb liab muaj zog. Yog tias nws nyob deb, lub teeb liab tsis muaj zog. Qhov no yuav pab lub tshuab paub yog tias lub qhov rooj qhib lossis kaw.

#### 4. Teeb Liab
Lub tshuab nrhiav koj li cas? Cov sensors xa tawm lub teeb liab tsis muaj teeb meem. Thaum ib yam dab tsi thaiv cov nqaj, lub sensor hais tias, ""Hav, ib yam dab tsi nyob ntawm no!"" Lub tshuab hlwb hlau paub qhov sensor nyob qhov twg, yog li nws paub tseeb tias qhov khoom nyob qhov twg.

#### Safety Sensors
Tej zaum koj yuav tau pom cov phab ntsa acrylic nyob ib ncig ntawm qhov khoom pov thawj no. Lawv nyob ntawm no rau koj kev nyab xeeb. Cov tshuab no yog programmed los ua lawv txoj haujlwm, tab sis lawv tsis paub tias koj nyob ntawm no. Lawv yuav tsis nres kom txog thaum lawv tau txais lub teeb liab kom nres. Txhawm rau kom tib neeg muaj kev nyab xeeb, cov chaw tsim khoom siv cov khoom siv ntawm lub qhov rooj uas tuaj yeem ntes tau yog tias lawv qhib lossis kaw. Cov sensors no siv cov xov tooj cua tshwj xeeb thiab cov khoom siv hlau los qhia lub tshuab yog tias lub qhov rooj qhib lossis kaw. Yog tias lub qhov rooj kaw, lub tshuab ua haujlwm zoo. Yog tias lawv qhib, lub tshuab nres."
