,Exhibit_Group,Exhibit_Name,Exhibit_Popularity,Exhibit_Copy,Language,Complexity
0,All-Aboard,All-Aboard,1,"# All Aboard!
Trains and railways have been a 'model' of innovation for hundreds of years, leading to advances in industry, agriculture, and transportation. Powered by steam, diesel fuel, or electricity, trains represent one of the most important ways that people and goods travel. Trains have also been a staple of pop culture and have been featured in some of our favorite movies. From Thomas the Tank Engine to The Hogwarts Express, these favorites take us on adventures and spark our imaginations. What is YOUR favorite? Today, trains and railways embody the technological advancements we've seen accelerate around the globe. From smart sensors and automated inspection equipment to computer programs that maximize fuel use, trains continue to carry us into the future.

### Train Time
Before trains, every town across the country set their own clocks based on solar noon, the moment when the sun is at its highest point in the sky. In Milwaukee, solar noon happens about a minute before it happens in Waukesha and about 14 minutes before it happens in Eau Claire. Clocks were different everywhere you went, but no one could get anywhere fast enough for it to matter. Then trains happened. Trains need schedules, not just for passengers, but also for safety. If your local clock is 14 minutes faster or slower than someone else's local clock, how can you coordinate? Railway companies were the first to set standard times. Trains ran on standardized timetables set by the companies. To a railway company, it was the same time in Chicago and Eau Claire as it was in Milwaukee and Minneapolis. Eventually, the railroad companies convinced governments to divide North America into five time zones. Today, the United States has nine different time zones.

### Staying on Track
How do trains stay on the tracks? Trains are massive and they have a lot of momentum. Newton's 1st Law of Motion says that objects that are moving want to keep moving in a straight line. But train routes aren't perfectly straight lines. When something with wheels goes around a curve, the outside wheels have farther to go and need to turn faster. The wheels on a car turn at different speeds thanks to something called a differential. Trains don't have a differential. Their wheels turn at the same speed. What's the solution? Train wheels aren't cylinders, they're cone-shaped and wider on the inside. If the track curves to the right, the train shifts to the left. Because the wheels have a slight cone shape, and are wider on the inside, the left wheels are now just a little bigger than the wheels on the right. This means that the left wheels travel a little bit farther than the ones on the right, all while turning at the same speed. Self-correcting wheels keep trains on the tracks.",English,Simplified
5,Automation Everywhere,Connect Four,3,"**Meet Gary the Robot**
Gary is a special robot that sorts objects quickly and accurately. He uses a powerful computer program to recognize and pick up items. Gary is very good at his job!

Robots like Gary are used in many different industries, such as:
* Medicine
* Food processing
* Electronics
* Many more!",English,Simplified
5,Automation Everywhere,Connect Four,3,"**Fanuc Robot-M-11a**

Gary is a sorting robot built by FANUC and controlled by a Rockwell Automation Programmable Automation Controller (PAC). Gary is very good at sorting. He's fast, accurate, and he's got excellent vision. Gary can recognize objects, track moving objects, and select parts from a bin.

Robots like the FANUC M-11a assemble electronics and work on assembly lines. They are used in the pharmaceutical industry, the health care industry, the food industry, and many other industries.",English,Standard
6,Automation Everywhere,Dream Machine,1,"### Sensor

#### 1. Tiny Light Sensors
These are small sensors that can detect light and send a signal.

#### 2. Beam Breakers
These sensors shine a light beam. When something gets in the way, like your foam sheet, the sensor sends a message to the Dream Machine's computer brain. This computer brain knows where everything is, so it knows where the object is too.

#### 3. Metal Detectors
These sensors work like metal detectors. They check for metal objects nearby. If the object is close, the sensor sends a strong signal. If it's far away, the signal is weak. This helps the machine know if a gate is open or closed.

#### 4. Light Beams
How does the machine find your order? These sensors send out a harmless red light beam. When something blocks the beam, the sensor says, ""Hey, something's here!"" The computer brain knows where the sensor is, so it knows exactly where the object is.

#### Safety Sensors
You might have noticed the acrylic walls around this exhibit. They're here for your safety. These machines are programmed to do their job, but they don't know you're here. They won't stop until they get a signal to stop. To keep people safe, factories use sensors on doors that can detect if they're open or closed. These sensors use special radio signals and metal detectors to tell the machine if the doors are open or closed. If the doors are closed, the machine works just fine. If they're open, the machine stops.",English,Standard
6,Automation Everywhere,Dream Machine,1,"### Sensor

#### 1. 42KD Miniature Photoelectric Sensors
A very tiny version of the Rockwell Automation photoelectric sensor.

#### 2. Rightsight Photoelectric Sensors
These sensors emit a beam of light. When an object like your foam sheet interrupts the beam, the sensor sends a signal to the Programmable Automation Controller or PAC. The PAC is the computer brain of the Dream Machine. It knows where each sensor is, so it knows where the object is.

#### 3. 871P Versacube Inductive Proximity Sensors
Inductive Proximity Sensors work just like a metal detector. They generate an electromagnetic (EM) field to detect metal objects. The EM field induces a second EM field in a nearby metal object. The strength of the second EM field depends on the distance from the sensor to the object being sensed. Here,
Inductive Proximity Sensors indicate if the Infeed Gate is open or closed.
If the EM field is weak, that means the gate is open. If the EM field is strong, the gate is closed.
Inductive proximity sensors are used in food processing and manufacturing, robotic welding, and for packaging/ materials handling.

#### 4. Visisight Sensors Photoelectric Sensors
How does the machine ""know"" where your order is? These sensors emit an eye-safe beam of red light. When something interrupts the beam, the sensor communicates that an object was detected. The ControlLogix Programmable Automation Controller (PAC), the computer brain of the Dream Machine, knows where each sensor is, so it knows where the object is the instant it interrupts the beam. VisiSight Photoelectric Sensors are used in packaging, materials handling, and sortation.

#### Sensaguard RFID
You may have noticed that this exhibit is enclosed with acrylic panels. That's for your safety. These machines are smart, but they don't know you're here. They are programmed to do a specific thing and won't stop until they receive a signal to stop. Safety is incredibly important in factories and on assembly lines. Of course, people need to access these machines to perform troubleshooting and maintenance. That's why there are doors with SensaGuard sensors on them. SensaGuard sensors use a combination of RFID technology (radio signals that read a chip) and inductive proximity sensors (to detect metal) to let the machines know whether the panel doors are open or closed. If closed, everything runs just fine. If open, the machine stops.",English,Technical
7,Automation Everywhere,Dream Machine: Control Cabinet,3,"### Control Cabinet
This cabinet is the brain of the Dream Machine. It helps control all the machines and sensors that work together to make the Dream Machine run.

### Precise Motors
The Dream Machine uses special motors called servos that can be controlled very precisely. They can move to exact positions and speeds. The brain of the Dream Machine sends signals to these motors, telling them what to do.

### Sensors and Controls
The Dream Machine has many sensors that watch what's happening and send information to the brain. The brain then decides what needs to happen next.

### Connected Control
The Dream Machine uses a special network that lets all the parts talk to each other. This makes it easier to control the whole system and makes it cheaper to set up and fix. It even lets people control the Dream Machine from far away.",English,Standard
7,Automation Everywhere,Dream Machine: Control Cabinet,3,"### Control Cabinet
This cabinet houses the electronic brain of the Dream Machine. All the sensors, the AC motors, the laser cutters, and everything else are controlled by the ControlLogix Programmable Automation Controller or PAC.

### Kinetix Servo Drives
Servos are a very precise and accurate electric motor. You can control their position, how fast they move, and how quickly they accelerate. Servo motors are controlled by servo drives. The Programmable Automation Controller or PAC (the computer brain of the Dream Machine) sends control signals to the Kinetix Servo Drives. The drives amplify these signals and send them to the servos. Here in the Dream Machine, Kinetix Servo Drives provide the motion control for the servo motors that move the laser cutters.

### Armorblock I/O
The Rockwell Automation ArmorBlock I/O gathers information from the sensors and sends it to the Programmable Automation Controller (the computer brain), which determines what needs to be done.

### Ethernet Control
One feature of Rockwell Automation systems is the Ethernet network, which allows all the systems to process information and communicate over a single network. Ethernet control gives operators a lot more control over the entire system. It also saves money on wiring and troubleshooting. And you can monitor and operate your factory from anywhere in the world.",English,Technical
10,Automation Everywhere,Sensor Challenge,2,"Can You Beat The Machine?
==========================

Take the Sensor Challenge!
-------------------------

### Steps to Complete the Challenge

1. **Press the Start Button**
2. **Choose a Speed**: Slow, Medium, or Fast
3. **Press Go**
4. **Sort!**",English,Simplified
21,Drive Sim,Drive Sim,1,"**Turning**
Racecars are designed to handle the effects of friction, gravity, and air resistance.

**Gaining Speed**
Aerodynamics is how easily air slips over the car. Traction is the grip that tires have on the ground, transferring engine power into forward motion and keeping the car on the racetrack.

**Special Maneuvers**
When an object is moving in a circle, centripetal force pulls it towards the center, while centrifugal force pulls it away.

**Crashing**
Modern racecars are designed to protect the driver using impact-absorbing materials, high-tech multi-point seatbelts, and breakaway pieces.",English,Standard
21,Drive Sim,Drive Sim,1,"**Turning**
Cars are designed to handle the forces that can affect them while racing.
**Gaining Speed**
A car's shape helps air flow smoothly over it, and special tires grip the ground to help the car move faster and stay on the track.
**Special Maneuvers**
When cars turn, two forces act on them: one pulls them towards the center and the other pulls them away.
**Crashing**
Today's cars are designed to keep drivers safe with special materials and protection systems that absorb impacts and help the driver stay safe in case of a crash.",English,Simplified
